Partner_Name_Pattern,Verified_COB,Why_This_Is_Tricky
Toner Cartridge Recharging,Ink Cartridge Refill,NAICS confidently but wrongly says OOA; real answer is a specific existing COB
Manufacturer's Representative - Excluding Products,Manufacturer sales representative,Sound like wholesale/manufacturing (OOA) but is a specific carve-in exception
Dental Office,Dentists Office,"NAICS nearest match is often ""Managing offices of dentists"" (a DIFFERENT, correctly-OOA administrative business) not the actual dental practice"
Portrait photography services photo photographer video video,Photography,"Recurring pattern: photography-related COBs (Photography, Videography, Photography studio) overlap heavily - defaults tend to land on the wrong specific one"
Photography studio photographer photography,Photography,Same recurring photography-COB overlap pattern as above
Residential Remodeler,Renovation contractor,Not Home builders - remodeling an existing structure is a distinct COB from new home construction
Resurfacing hardwood flooring,Floor covering installation (no ceramic tile/stone),Not Interior finishing work or Carpet laying - resurfacing existing floors is its own specific COB
"Dollar stores, five and dime",General Merchandise Stores,"NAICS has an exact-text match to this real phrase (0.80 similarity) - semantic matching missed it entirely, landing on Jewelry stores instead"
Other Accounting Services,Accounting,"Bookkeeping and Accounting are adjacent but distinct COBs - generic ""other accounting"" phrasing should default to Accounting, not Bookkeeping"
Project Manager,Ambiguous - depends on context,"Almost always ambiguous: plain ""Project Manager"" usually means general/business Project management, but if the context mentions architecture/construction/engineering, it should be Agency Construction Manager instead. Handled in code as an always-flag exception (never auto-trusted regardless of match score), NOT resolvable by a single verified answer since the correct COB genuinely depends on context."
